BHK,project,Location,City,Total sqft,price_sqft,price
3,,Andheri West,Mumbai,1550,"35,000",5.42 Cr
2 BHK Apartment,ACME Ozone Phase 2Thane West,Thane West,Mumbai,1040,"18,000",1.87 Cr
2 BHK Apartment,Shree Tirupati Siddeshwar GardensThane West,Thane West,Mumbai,1050,"18,000",1.89 Cr
2 BHK Apartment,Kakad Paradise Phase 2Mira Road East,Mira Road East,Mumbai,990,"12,000",1.19 Cr
1 BHK Apartment,Raj AkshayMira Road East,Mira Road East,Mumbai,756,"12,000",90.72 L
2 BHK Apartment,L K Umang HeightsAndheri West,Andheri West,Mumbai,1250,"35,000",4.38 Cr
2 BHK Apartment,Darvesh Darvesh HorizonMira Road East,Mira Road East,Mumbai,955,"12,000",1.15 Cr
2 BHK Apartment,Unique EstateMira Road East,Mira Road East,Mumbai,1045,"12,000",1.25 Cr
1 BHK Apartment,Salasar WoodsMira Road East,Mira Road East,Mumbai,750,"12,000",90.00 L
1 BHK Apartment,PNK Imperial HeightsMira Road East,Mira Road East,Mumbai,755,"12,000",90.60 L
3 BHK Apartment,Space Ashley TowerMira Road East,Mira Road East,Mumbai,1300,"12,000",1.56 Cr
2 BHK Apartment,Sheth AvalonThane West,Thane West,Mumbai,1250,"18,000",2.25 Cr
1 BHK Apartment,MICL Aradhya D And E TowerBhayandar East,Bhayandar East,Mumbai,750,"25,000",1.88 Cr
2 BHK Apartment,Royal OasisMalad West,Malad West,Mumbai,750,"22,000",1.65 Cr
2 BHK Apartment,Royal OasisMalad West,Malad West,Mumbai,700,"22,000",1.54 Cr
2 BHK Apartment,Dosti ViharThane West,Thane West,Mumbai,1018,"18,000",1.83 Cr
1 BHK Apartment,Royal OasisMalad West,Malad West,Mumbai,650,"22,000",1.43 Cr
